Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
B9389363-EDAB-4BF8-8253-B7E77C4CF833,MS000321,Museum Anatomi Tubuh (Kawasan Jawa Timur),0,Kota Batu,-,Batu,Kota Batu,Prop. Jawa Timur,-7.8834600,112.5249710,0,-,-,-,-,0,-,0
76C1F934-1706-46FB-BBDB-607FD6DD06B5,MS000308,Museum Angkut,0,Jl. Terusan Sultan Agung Atas No. 2 Kota Wisata Batu,-,Batu,Kota Batu,Prop. Jawa Timur,-7.8785950,112.5190170,0,-,Swasta,Khusus,A,2014,baru,0
112C6281-A1BF-427A-BE7B-744FF3F40D0F,MS000323,Museum d’Topeng,0,"kawasan Museum Angkut, yakni di Jl. Terusan Sultan Agung No. 2",-,Batu,Kota Batu,Prop. Jawa Timur,-7.8786760,112.5191780,0,-,Swasta,Khusus,A,0,-,0
5D3453F7-A4EF-422C-9C12-719AB7EC475C,MS000313,Museum HAM Omah Munir,0,rumah pribadi Suciwati Munir di Kota Batu,-,Batu,Kota Batu,Prop. Jawa Timur,-7.8458220,112.5283810,0,-,Swasta,Khusus,-,0,-,0
7009F239-F942-4372-B6A1-A3E8BFDE9704,MS000311,Museum Satwa Jawa Timur Park 2,0,Jl. Raya Oro-oro Ombo No. 9 Kota Wisata Batu,-,Batu,Kota Batu,Prop. Jawa Timur,-7.8886300,112.5298950,0,-,Swasta,Khusus,A,0,-,0
