Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
BEA2D171-D217-4C79-836A-EFD4033079B4,MS000223,Museum Prof. Dr. R. Soegarda Poerbakawatja,0,Jl. Alun-alun  Utara  No. 1,-,Purbalingga,Kab. Purbalingga,Prop. Jawa Tengah,-7.3887010,109.3631830,0,-,-,Khusus,C,2003,-,0
F22CBFD0-C0D2-489A-97C6-810DB3853FA8,MS000230,Museum Uang Purbalingga,0,Jl. Raya Buper Kutasari,-,Kutasari,Kab. Purbalingga,Prop. Jawa Tengah,-7.3197070,109.2940980,0,-,-,-,C,0,-,0
E36627C3-17E8-453F-82AF-D9C652A27622,MS000231,Museum wayang dan artefak,0,Jl. Raya Buper Kutasari,-,Kutasari,Kab. Purbalingga,Prop. Jawa Tengah,-7.3174610,109.2927490,0,-,-,-,C,0,-,0
