"Museum ID : 54000A62-6DD2-4A4B-9AB6-8037C15B2E6F
","Kode Pengelolaan : MS000065
","Nama : Museum Bank Indonesia
","SDM : 
","Alamat : Jl. M.H. Thamrin No. 2
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1371980
","Bujur : 106.8127080
","Koleksi : 
","Sumber Dana : BANK  INDONESIA
","Pengelola : BANKINDONESIA
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 2006
","Bangunan : Baru
","Luas Tanah : 
",-----------------------------------------------------------------------
"Museum ID : D4EC3CD9-240D-441F-9350-EF17ADA8380E
","Kode Pengelolaan : MS000141
","Nama : Museum Bank Mandiri
","SDM : 
","Alamat : Jl. Lapangan Stasiun No. 1,  (Depan Stasiun Kota)
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1381770
","Bujur : 106.8130390
","Koleksi : 
","Sumber Dana : BANK  MANDIRI
","Pengelola : BANKMANDIRI
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 1998
","Bangunan : Lama
","Luas Tanah : 10039
",-----------------------------------------------------------------------
"Museum ID : 3C67B43A-1145-40EA-A601-007B31D8CA08
","Kode Pengelolaan : MS000002
","Nama : Museum Bank Tabungan Negara
","SDM : 
","Alamat : Jl. Gajah Mada No. 1
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1670710
","Bujur : 106.8195610
","Koleksi : 
","Sumber Dana : PT. BANK TABUNGAN NEGARA (PERSERO), TBK
","Pengelola : PT. Bank Tabungan Negara (PERSERO), Tbk
","Tipe : Khusus
","Standar : -
","Tahun Berdiri : 
","Bangunan : 
","Luas Tanah : 500
",-----------------------------------------------------------------------
"Museum ID : 3BD65D8F-0BA9-45B5-81F0-6E2F0A23D20D
","Kode Pengelolaan : MS000056
","Nama : Museum Sejarah Kota Jakarta “Museum Fatahillah
","SDM : 
","Alamat : Jl. Taman Fatahillah  No.1
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1352430
","Bujur : 106.8133210
","Koleksi : 23500
","Sumber Dana : PEMERINTAH DAERAH
","Pengelola : PEMERINTAH DAERAH
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 1974
","Bangunan : Lama
","Luas Tanah : 13388
",-----------------------------------------------------------------------
"Museum ID : 51764722-CA84-4438-BB8B-CB504807E1CF
","Kode Pengelolaan : MS000113
","Nama : Museum Seni Rupa dan Keramik
","SDM : 
","Alamat : Jl. Pos Kota  No.2
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1342150
","Bujur : 106.8143650
","Koleksi : 1414
","Sumber Dana : PEMERINTAH DAERAH
","Pengelola : PEMERINTAH DAERAH
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 1976
","Bangunan : Lama
","Luas Tanah : 8875
",-----------------------------------------------------------------------
"Museum ID : 25D402FB-ACBA-4F0C-9869-BB5701FA75FC
","Kode Pengelolaan : MS000105
","Nama : Museum Tekstil
","SDM : 
","Alamat : Jl. Aipda K.S. Tubun  No. 2 – 4
","Desa/Kelurahan : -
","Kecamatan : Grogol Petamburan
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1879170
","Bujur : 106.8096050
","Koleksi : 1914
","Sumber Dana : PEMERINTAH DAERAH
","Pengelola : PEMERINTAH DAERAH
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 1976
","Bangunan : Lama
","Luas Tanah : 16410
",-----------------------------------------------------------------------
"Museum ID : 8F4385E6-EA4D-45A8-A395-B5C736BEB2B6
","Kode Pengelolaan : MS000103
","Nama : Museum Wayang 
","SDM : 
","Alamat : Jl. Pintu Besar Utara  No.27
","Desa/Kelurahan : -
","Kecamatan : Taman Sari
","Kabupaten/Kota : Kota Jakarta Barat
","Propinsi : D.K.I. Jakarta
","Lintang : -6.1348670
","Bujur : 106.8125830
","Koleksi : 5147
","Sumber Dana : PEMERINTAH DAERAH
","Pengelola : PEMERINTAH DAERAH
","Tipe : Khusus
","Standar : A
","Tahun Berdiri : 1975
","Bangunan : Lama
","Luas Tanah : 1920
",-----------------------------------------------------------------------
