Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
C86650F1-43D2-467C-B5B7-E5C2C940B26C,MS000408,Museum Kota Makassar,0,Jl. Balai Kota No. 11 A,-,Ujung Pandang,Kota Makassar,Prop. Sulawesi Selatan,-5.1345970,119.4086260,0,-,PEMDA,Khusus,C,2000,Lama,0
E31C5F42-4E6B-4ADD-BCDD-B71739B4F61E,MS000404,Museum Monumen Mandala Pembebasan Irian Barat,0,Jl. Jend. Sudirman No. 2,-,Ujung Pandang,Kota Makassar,Prop. Sulawesi Selatan,-5.1376420,119.4136360,0,-,Disbudpar Sulsel,Khusus,C,1995,Baru,0
11CE76BF-9A75-4187-BDD4-935B3F0517A1,MS000398,Museum Negeri Provinsi Sulawesi Selatan ”La Galigo”,0,Komplek Benteng Ujung Pandang Jl. Ujung Pandang No 2,-,Ujung Pandang,Kota Makassar,Prop. Sulawesi Selatan,-5.1342890,119.4057610,4999,-,"DEPDIKBUD  (smp. thn. 2002),MENBUDPAR  (smp. thn. 2005), Disbudpar Prop Sulsel",Umum,A,1970,Lama,0
