Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
20B33F90-673F-4284-B5B7-850A40FEFC46,MS000227,Museum Haji Widayat,0,Jl. Letnan Tukiyat 32,-,Mungkid,Kab. Magelang,Prop. Jawa Tengah,-7.5650590,110.8108640,0,-,PT. Haji Widayat,Khusus,A,0,-,0
D1019C33-9209-475D-810A-CAE544853039,MS000214,Museum Kapal Samudera Raksa,0,Komp. Taman Wisata Candi Borobudur,-,Borobudur,Kab. Magelang,Prop. Jawa Tengah,-7.6058800,110.2069610,0,-,Taman Wisata Candi Borobudur,-,B,2005,-,0
C83BD912-44ED-4F22-BD9F-FA3ACC850E21,MS000213,Museum Maha Karmawibhangga,0,Komp. Taman Wisata Candi Borobudur,-,Borobudur,Kab. Magelang,Prop. Jawa Tengah,-7.6051610,110.2036600,0,-,Taman Wisata Candi Borobudur,-,B,0,-,0
394B5B5A-6009-432E-83F5-F8F8282B2CF3,MS000224,Museum Misi Muntilan Pusat Animasi Misioner  (MMMPAM),0,Jl. Kartini  3,-,Muntilan,Kab. Magelang,Prop. Jawa Tengah,-7.5815190,110.2928690,0,-,SWASTA,Khusus,-,0,-,0
