Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
2015790B-0F0A-41AD-BB16-3DB958C9B0E6,MS000272,Museum Gumuk Pasir,0,Pantai Parangtritis dan Parang Kusumo,-,Kretek,Kab. Bantul,Prop. D.I. Yogyakarta,-8.0091340,110.3019980,0,-,Fakultas Geografi,-,-,0,-,0
F3C63C6B-2F99-4CE7-8319-CD7DFEDE9288,MS000268,Museum Memorial Jenderal Besar Soeharto,0,"Kesumuk, Argomulyo",-,Sedayu,Kab. Bantul,Prop. D.I. Yogyakarta,-7.7914380,110.2802940,0,-,-,-,-,0,-,0
71A7A010-507D-43EA-A442-6DF660A72D9F,MS000279,Museum Sejarah Purbakala Pleret,0,"Jl.Raya Pleret, Kedaton, Pleret",-,Pleret,Kab. Bantul,Prop. D.I. Yogyakarta,-7.8682850,110.4052580,0,-,Dinas Kebudayaan Provinsi Yogyakarta,Khusus,C,2004,Baru,0
62EA2E67-1705-4848-ACDB-1FE02696F3E9,MS000273,Museum Tani Jawa Indonesia,0,Kristya Bintara Dsn Candran Kebon Agung,-,Bantul,Kab. Bantul,Prop. D.I. Yogyakarta,-7.9244920,110.3714170,0,-,-,-,B,0,-,0
693AD108-E9FA-4075-8042-3E517A8EF77F,MS000257,Museum Tembi Rumah Budaya    ,0,"Jl. Parangtritis  Km. 8,4  Tembi",-,Sewon,Kab. Bantul,Prop. D.I. Yogyakarta,-7.8701360,110.3561730,0,-,SWASTA,Khusus,B,0,-,0
B9E07D4B-87A3-4448-8C74-4DA3C06D10BD,MS000280,Museum Tino Sidin,0,Yogyakarta,-,Kasihan,Kab. Bantul,Prop. D.I. Yogyakarta,-7.7990460,110.3448890,0,-,-,-,-,0,-,0
1874EDF4-3B8A-416F-92E7-B0405B8BBAD0,MS000252,Museum Wayang Kekayon,0,Jl. Jogya - Wonosari  Km. 7  No. 277,-,Banguntapan,Kab. Bantul,Prop. D.I. Yogyakarta,-7.7853510,110.3765980,5464,-,SWASTA,Khusus,C,1991,-,0
