Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
F3F03D43-7F49-4836-9F6A-5ECD731D4331,MS000201,Museum Bank Rakyat Indonesia,0,Jl. Jend. Sudirman No.27,-,Banyumas,Kab. Banyumas,Prop. Jawa Tengah,-7.4239700,109.2254300,0,-,BUMN,Khusus,B,0,-,0
224F0A23-A6F5-4F09-9AF6-F0F7A0D29A7C,MS000229,Museum Ki Diso,0,Jl. Dr. Angka 17,-,Purwokerto Timur,Kab. Banyumas,Prop. Jawa Tengah,-7.4163360,109.2322490,0,-,-,-,-,0,-,0
4228686B-8366-49E8-9534-24BAD11D1DB0,MS000197,Museum Wayang Sendang Mas Banyumas,0,Jl. Gatot Subroto No.1,-,Banyumas,Kab. Banyumas,Prop. Jawa Tengah,-7.5137910,109.2960010,0,-,PEMKOT,Khusus,-,0,-,0
