Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
218B3D07-58BF-4946-90C3-9FFEC3B6B58D,MS000093,Museum Gentala Arasy Kota Jambi,,Jembatan Pedestrian Sungai Batang Hari,-,Danau Teluk,Kota Jambi,Jambi,-1.5851170,103.6142380,,PEMERINTAH DAERAH,Dinas Kebudayaan dan Pariwisata Provinsi,Umum,-,2014,BAru,
B4F61E82-378F-44C5-BD24-EBDDBE7B964F,MS000138,Museum Negeri Siginjei PROVINSI Jambi ,,Jl. Urip Sumoharjo No.1,-,Telanai Pura,Kota Jambi,Jambi,-1.6099090,103.5923990,,PEMERINTAH DAERAH,PEMERINTAH PROVINSI,Umum,A,1988,Baru,
749A2127-13DC-4D0B-A83B-FE5E392AC79D,MS000148,Museum Perjuangan Rakyat Jambi,,"Jl. Sultan Agung No.12, Lapangan Banteng",-,Telanai Pura,Kota Jambi,Jambi,-1.5962630,103.6068650,,PEMERINTAH DAERAH,Dinas Kebudayaan dan Pariwisata Provinsi,Khusus,B,1997,Baru,
