Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
1647D41F-954C-48EC-A03B-ED35B843558B,MS000328,Museum  Le  Mayeur ,0,Jl. Hang Tuah,-,Denpasar Selatan,Kota Denpasar,Prop. Bali,-8.6751480,115.2636710,88,-,PEMDA,Khusus,B,1985,Baru,0
ACCFC7DD-3E98-481A-A4FA-1C2B89FFC6DF,MS000355,Museum Agung Bung Karno ,0,Jl. Pegangsaan Timur 56,-,Denpasar Selatan,Kota Denpasar,Prop. Bali,-8.6730260,115.2254060,0,-,Yayasan Kepustakaan Bung Karno,-,-,0,-,0
8B43A099-1E7C-4878-90D7-3B2014F12890,MS000348,Museum Latta Mahosadhi ,0,"Jl. Nusa Indah, ISI Denpasar",-,Denpasar Timur,Kota Denpasar,Prop. Bali,-8.6539090,115.2327850,0,-,dibuka pada 16 Juni 1997,-,C,0,-,0
2ED97564-D3E6-4718-A71D-59758B160AEC,MS000338,Museum Lukisan Sidik Jari,0,Jl. Hayam Wuruk No. 175,-,Denpasar Selatan,Kota Denpasar,Prop. Bali,-8.6632760,115.2405610,0,-,YAYASAN KERTI BUDAYA,Khusus,C,0,-,0
5E9BE50E-D3D1-42D4-B66B-8C942B4AF43D,MS000326,Museum UPTD Bali,0,"Jl. Mayor Wisnu, Kelurahan Br. Abasan",-,Denpasar Timur,Kota Denpasar,Prop. Bali,-8.6424990,115.2430410,0,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Umum,B,0,-,0
89F575F2-96D1-44DE-91A6-5B7506BDBC21,MS000352,Putrawan Museum of Tribal Art (PUMA),0,Jl. Trenggana No. 108 Penatih,-,Denpasar Timur,Kota Denpasar,Prop. Bali,-8.7995510,115.2322810,0,-,Swasta,Khusus,A,2004,-,0
12EF3904-3D04-462A-B2E1-021B89343D31,MS000345,UPT. Monumen Perjuangan Rakyat Bali ,0,Jl. Raya Puputan Niti Mandala,-,Denpasar Timur,Kota Denpasar,Prop. Bali,-8.6717690,115.2338880,0,-,PEMKOT,Khusus,B,2003,-,0
