Museum ID,Kode Pengelolaan,Nama,SDM,Alamat,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Propinsi,Lintang,Bujur,Koleksi,Sumber Dana,Pengelola,Tipe,Standar,Tahun Berdiri,Bangunan,Luas Tanah
EEF8CA11-9087-47A0-8E92-37840CF619C0,MS000027,Museum Perjuangan Tridaya Eka Dharma,,"Jl. Panorama No.22, Kayu Kubu, Guguh Panjang",-,Guguk Panjang,Kota Bukittinggi,Sumatera Barat,-.3075330,100.3685020,,TNI,TNI,Khusus,C,1973,Baru,
C107C183-5C2B-4A6C-BFF1-57F04CBC0F34,MS000045,Museum Rumah Adat Baanjuang,,"Jl. Cindur Mato No. 1, Pasar Atas, Kompleks Kebun Binatang",-,Guguk Panjang,Kota Bukittinggi,Sumatera Barat,-.3007150,100.3695490,,PEMERINTAH DAERAH,PEMERINTAH KOTA,Khusus,C,2005,Baru,2798
9A12B758-DFE9-4D9C-9324-45F39EFA5BA2,MS000037,Museum Rumah Kelahiran Bung Hatta,,"Jl. Soekarno - Hatta  No.37,  Aur Tanjungkang Tengah Sawah",-,Guguk Panjang,Kota Bukittinggi,Sumatera Barat,-.3007850,100.3730910,,PEMERINTAH DAERAH,PEMERINTAH KOTA,Umum,C,1994,Lama,1000
08869918-B390-4E3A-8414-ECE4A12E4823,MS000139,Museum Zoologi (sumatera barat),,Taman Margasatwa dan Budaya Kinantan Jl. Cindur Mato No 10,-,Guguk Panjang,Kota Bukittinggi,Sumatera Barat,-.3006890,100.3705090,2000,PEMERINTAH DAERAH,PEMERINTAH KOTA,Khusus,B,,Baru,
